╔════════════════════════════════════════════════════════════════════╗
║         HOLONIC REALMS SDL2 GUI - SIMULATION VIEWER              ║
║   Real-time visualization of cosmological emergence                 ║
╚════════════════════════════════════════════════════════════════════╝

Initializing SDL2 subsystems...
Window created successfully
Initializing WGPU...
GPU adapter found: AdapterInfo { name: "NVIDIA GeForce RTX 2060 SUPER", vendor: 4318, device: 7942, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "590.48.01", backend: Vulkan }
WGPU initialized successfully
Surface format: Bgra8UnormSrgb
Surface size: 960x1080
Created 100 entities and 4 collective groups

════════════════════════════════════════════════════════════════════
STARTING SDL2 GUI
════════════════════════════════════════════════════════════════════

Controls:
  WASD/Arrows: Pan camera
  +/-: Zoom in/out
  1: Toggle Entity Visualization
  2: Toggle Spectrum Visualization
  3: Toggle Emergence Visualization
  4: Toggle Collective Visualization
  P: Toggle Performance Display
  F11: Toggle Fullscreen
  ESC: Exit
  Shift+C: Copy entity info to clipboard
  Shift+V: Paste from clipboard

Window focused
FPS: 5262.9 | Frame: 0.190ms | Event: 0.016ms | Render: 0.173ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5247.0 | Frame: 0.191ms | Event: 0.016ms | Render: 0.173ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5179.6 | Frame: 0.193ms | Event: 0.016ms | Render: 0.175ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5136.6 | Frame: 0.195ms | Event: 0.017ms | Render: 0.177ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5139.8 | Frame: 0.195ms | Event: 0.017ms | Render: 0.177ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5097.4 | Frame: 0.196ms | Event: 0.017ms | Render: 0.178ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5071.9 | Frame: 0.197ms | Event: 0.017ms | Render: 0.179ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5029.7 | Frame: 0.199ms | Event: 0.017ms | Render: 0.180ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5003.2 | Frame: 0.200ms | Event: 0.017ms | Render: 0.181ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5000.0 | Frame: 0.200ms | Event: 0.017ms | Render: 0.181ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4958.2 | Frame: 0.202ms | Event: 0.017ms | Render: 0.183ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4936.2 | Frame: 0.203ms | Event: 0.017ms | Render: 0.184ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
